Menu item,Meal Type,Food Type
Flan caramel,dessert,Lait
Salade verte,Entrée,legumes autres
Pamplemousse,Entrée,agrumes
Hachis Parmentier,Plat,pomme de terre
Crêpe au fromage,Plat,Blé Seigle
emincé de volaille à la forestière,Plat,Volaille
haricots beurre / haricots plats,Accompagnement,Legumineuse autre
St paulin,fromage,Fromage
ananas,dessert,fruits autre
thon,Plat,Poissons
Mâche au thon,Entrée,legumes autres
Yaourt brasse bio,fromage,Lait
Croziflette,Plat,pomme de terre
des de canard,Entrée,Volaille
des de volaille,Entrée,Volaille
Galette des rois,Plat,Blé Seigle
milanette en des,Entrée,Blé Seigle
Lait fermier,fromage,Lait
Choux blancs mimolette,Entrée,type chou
filet surgele printaniere,Plat,Poissons
carottes persillées,Accompagnement,legumes racines
Endives / demi-oeuf,Entrée,oeufs
Fromage blanc,fromage,Lait
paella de la mer,Plat,Riz
et abricots secs,dessert,Bais et Raisins
Tomme bio,fromage,Fromage
sauté de boeuf Bourguignon,Plat,Boeuf
haricots verts,Accompagnement,legumes autres
Clémentines,dessert,agrumes
Taboulé,Entrée,legumes autres
purée de p  de terre,Accompagnement,pomme de terre
carottes râpées bio,Entrée,legumes racines
jus de veau,Plat,Veau
rôti de dinde,Plat,Volaille
Yaourt Fruix,fromage,Lait
Edam,fromage,Fromage
poisson pané,Plat,Poissons
Pomme,dessert,fruits autre
Pizza au fromage,Plat,Blé Seigle
épinards à la crème,Accompagnement,legumes autres
citron,dessert,agrumes
Crème dessert vanille,dessert,Lait
Mâche au surimi,Entrée,legumes autres
gruyère râpée,fromage,Fromage
pâte,Accompagnement,Blé Seigle
sauce bolognaise,Plat,Boeuf
sauté de dinde  forestière,Plat,Volaille
Sauté de porc Forestière,Plat,Porc
Lait fermier,fromage,Lait
batonnière de légumes,Accompagnement,legumes autres
Beignet chocolat,dessert,Blé Seigle
Choux rouges,Entrée,type chou
Potage tomate / vermicelle,Entrée,Tomates
Banane,dessert,Banane
Camembert,fromage,Fromage
petits pois  à langlaise,Accompagnement,Legumineuse autre
cordon bleu de volaille,Plat,Volaille
riz pilaf,Accompagnement,Riz
Gervais aux fruits,fromage,Lait
beurre blanc,Accompagnement,Lait
Poisson,Plat,Poissons
Concombres vgte,Entrée,legumes autres
Ananas,dessert,fruits autre
Gouda,fromage,Fromage
Courgettes à la tomate,Accompagnement,legumes autres
Poisson meunière,Plat,Poissons
Potage carottes,Entrée,legumes racines
sauté de veau Marengo,Plat,Veau
pamplemousse,Entrée,agrumes
Frites,Accompagnement,pomme de terre
Yaourt aromatisé,fromage,Lait
cuisse de poulet rôti au jus,Plat,Volaille
Pomme,dessert,fruits autre
Tomme blanche,fromage,Fromage
Choux fleurs béchamel agro,Accompagnement,type chou
poulet fermier,Plat,Volaille
salade de pâtes aux tomates confites,Entrée,legumes autres
Omelette,Plat,oeufs
salade verte au thon,Entrée,legumes autres
Crème dessert chocolat,dessert,Lait
Riz à la forestière,Accompagnement,Riz
Flan caramel,dessert,Lait
betteraves cubes,Entrée,legumes racines
salade verte,Entrée,legumes autres
lasagnes bolo,Plat,Blé Seigle
Potage légumes,Entrée,legumes autres
Champanet,fromage,Fromage
Jambon fumé,Entrée,Porc
Clémentines,dessert,agrumes
carottes crème,Accompagnement,legumes racines
jambon de dinde agro,Entrée,Volaille
nems de volaille,Entrée,Volaille
poelée asiatique,Accompagnement,legumes autres
Emincé de dinde au caramel,Plat,Volaille
salade,Entrée,legumes autres
et litchis,dessert,fruits autre
nouvel an chinois,Entrée,legumes autres
salade de fruit exotique,dessert,fruits autre
Pommes de terre sautées agro,Accompagnement,pomme de terre
Choux à la mimolette,Entrée,type chou
calamar armoricaine,Plat,Crustacés
Kiwi,dessert,fruits autre
Tarte au fromage,Plat,Fromage
Pomme,dessert,fruits autre
poulet confit,Plat,Volaille
Haricots verts,Accompagnement,legumes autres
blanc à la neige,Accompagnement,Legumineuse autre
haricots blanc à la tomate,Accompagnement,Legumineuse autre
Concombres vgte,Entrée,legumes autres
